"","region","region_code","geography","year","P","G","E","F","g","e","f","ef","G_ppp","G_mer"
"4925","Non-OECD",NA,"region",1964,2.400662902,1.65047614572488,NA,NA,0.687508497902753,NA,NA,NA,NA,1.65047614572488
"4926","Non-OECD",NA,"region",1965,2.456558824,1.76541984637048,43.5398482388964,3504.55137804348,0.718655636951471,24.6626026825347,80.490665902521,1985.10931280652,NA,1.76541984637048
"4927","Non-OECD",NA,"region",1966,2.51607395,1.85145913270695,46.3365229859066,3709.51136608256,0.73585243100941,25.0270298530218,80.0558852292567,2003.56102954269,NA,1.85145913270695
"4928","Non-OECD",NA,"region",1967,2.575625814,1.91751063330537,47.8806452730771,3803.7608350131,0.744483388418693,24.9702110858917,79.4425558243661,1983.69738813716,NA,1.91751063330537
"4929","Non-OECD",NA,"region",1968,2.636836422,2.12876265480195,50.1234863643133,3938.59911045426,0.807316918501646,23.545831307801,78.5779161853842,1850.18235901958,NA,2.12876265480195
"4930","Non-OECD",NA,"region",1969,2.7004401,2.30933807828136,53.5927458788542,4196.84119891828,0.855171006489411,23.2069727611033,78.3098744073535,1817.33512229687,NA,2.30933807828136
"4931","Non-OECD",NA,"region",1970,2.765783154,2.57158824989774,58.0026471689331,4522.40069336436,0.929786648739469,22.5551843967399,77.9688671827829,1758.60217651259,NA,2.57158824989774
"4932","Non-OECD",NA,"region",1971,2.832523926,2.76203198597331,62.232236914822,4848.8298828726,0.975113382316159,22.5313237612243,77.9150826525689,1755.52995312758,NA,2.76203198597331
"4933","Non-OECD",NA,"region",1972,2.898333175,2.95774150746129,66.0220006866762,5120.74595690208,1.0204974131248,22.3217615603416,77.5612054109637,1731.30273351621,NA,2.95774150746129
"4934","Non-OECD",NA,"region",1973,2.96415201,3.21233532047699,70.08789343801,5393.4584870411,1.08372826684992,21.8183615487573,76.9527834619741,1678.98365175658,NA,3.21233532047699
"4935","Non-OECD",NA,"region",1974,3.029582256,3.43848666646745,73.4392006919843,5581.15247320773,1.13497055894674,21.3580007182149,75.9969120118284,1623.14210133075,NA,3.43848666646745
"4936","Non-OECD",NA,"region",1975,3.093755576,3.59071635227874,77.7305788170184,5906.70421811756,1.16063349675519,21.6476522206186,75.9894536746244,1644.99326558308,NA,3.59071635227874
"4937","Non-OECD",NA,"region",1976,3.157409293,3.87325780312646,81.9450637723228,6185.8559533577,1.22672021385175,21.1566252332022,75.4878411046767,1597.06796391516,NA,3.87325780312646
"4938","Non-OECD",NA,"region",1977,3.220639867,4.06732377607109,87.1192680334711,6539.88110879377,1.26289307219555,21.4193098041547,75.0681365490944,1607.90767316564,NA,4.06732377607109
"4939","Non-OECD",NA,"region",1978,3.285063441,4.13960771846464,92.1513901482255,6858.51482785332,1.26013022056113,22.260899199986,74.4266018865413,1656.80308239379,NA,4.13960771846464
"4940","Non-OECD",NA,"region",1979,3.351212596,4.34042604214977,96.5480015968939,7134.38096220429,1.29518074959807,22.2438997138342,73.894651822952,1643.70522453844,NA,4.34042604214977
"4941","Non-OECD",NA,"region",1980,3.418221171,4.60523017106716,99.033378876842,7252.20201711479,1.34725927337227,21.5045448757436,73.2298756173272,1574.77514645793,NA,4.60523017106716
"4942","Non-OECD",NA,"region",1981,3.487353378,4.65976202066289,101.485597263998,7376.96604435547,1.33618865528771,21.77913739242,72.6897830158651,1583.12077132772,NA,4.65976202066289
"4943","Non-OECD",NA,"region",1982,3.559893498,4.71027062916148,104.794563574938,7593.8961490781,1.32314931101388,22.2480982146016,72.4646001664748,1612.19954158557,NA,4.71027062916148
"4944","Non-OECD",NA,"region",1983,3.633545175,4.7291217050415,108.599234094524,7840.25240078087,1.30151724480528,22.9639330234938,72.1943618309204,1657.86648975913,NA,4.7291217050415
"4945","Non-OECD",NA,"region",1984,3.707299788,4.94223214563913,113.994617207993,8144.16249718235,1.33310830746314,23.0654113058162,71.4433952817492,1647.87129725756,NA,4.94223214563913
"4946","Non-OECD",NA,"region",1985,3.782536917,5.12535036813128,117.516375469499,8361.04962545689,1.35500339602668,22.9284569890479,71.147953568624,1631.31279325697,NA,5.12535036813128
"4947","Non-OECD",NA,"region",1986,3.860011981,5.38738873845308,121.91437186614,8646.71157643037,1.39569223229649,22.6295850893333,70.9244648032499,1604.99121118057,NA,5.38738873845308
"4948","Non-OECD",NA,"region",1987,3.939727562,5.85546316607741,127.306853208383,9008.7976761818,1.48626093401872,21.7415513679451,70.7644360782033,1538.52862201793,NA,5.85546316607741
"4949","Non-OECD",NA,"region",1988,4.020247251,6.14280218615103,132.91194144935,9353.43151164,1.52796626740384,21.637021252125,70.3731463828208,1522.665263864,NA,6.14280218615103
"4950","Non-OECD",NA,"region",1989,4.100278894,7.78018887315095,135.735540974533,9534.59883609444,1.89747797022681,17.4463040920446,70.2439373478706,1225.49709159348,NA,7.78018887315095
