"","region","region_code","geography","year","P","G","E","F","g","e","f","ef"
"102","China","CHN","nation",2040,1.39975996202439,25.4290986483306,154.011477706027,9405.8377215967,18.166756685592,6.05650557402425,61.0723165681867,369.884825713796
"103","China","CHN","nation",2045,1.38093360111006,28.970315874935,158.832706573346,9273.00390310765,20.9787898937699,5.48260182108569,58.3822066825106,320.086392676534
"104","China","CHN","nation",2050,1.35559812604981,32.0230131833656,162.13614116762,9065.00558244918,23.6227924544867,5.06311321296404,55.9098392077653,283.077845627531
"105","Colombia","COL","nation",2015,0.047520667,0.36021975107443,1.6226952226146,89.7630005586938,7.5802755688263,4.50473694952756,55.3172273558932,249.189558015509
"106","Colombia","COL","nation",2020,0.0499659550104354,0.401517747212723,1.6226952226146,90.8421558425556,8.03582653686627,4.04140348435185,55.9822661560463,226.246925504958
"107","Colombia","COL","nation",2025,0.0522060440269881,0.469142684246591,1.70282832002767,95.556360503636,8.98636724905004,3.62965975428625,56.1162622090307,203.682938501093
"108","Colombia","COL","nation",2030,0.0542067342173444,0.533779789942956,1.79297805461737,98.7483882380062,9.8471121282227,3.35902199446139,55.0750679762667,184.998364678736
"109","Colombia","COL","nation",2035,0.0559509256653473,0.603882181431052,1.91317770073697,103.564828662821,10.7930686445293,3.16813073736207,54.132362416166,171.498401256679
"110","Colombia","COL","nation",2040,0.0574215184548399,0.681087317878051,2.0433939840332,111.891363642512,11.8611861233468,3.00019385238219,54.7576064708108,164.28343430489
"111","Colombia","COL","nation",2045,0.0586185125858222,0.765714184836,2.20366017885934,120.467808266888,13.0626682776185,2.87791479183753,54.667143973734,157.327382269521
"112","Colombia","COL","nation",2050,0.0595419080582944,0.854253941232386,2.36392637368547,129.873498530441,14.3471038985857,2.76724081632584,54.9397392305253,152.031488837007
"113","Croatia","HRV","nation",2015,0.004203604,0.0593198496965334,0.305944729853746,16.2423031402177,14.1116645850878,5.15754391521368,53.0890110379812,273.808905843652
"114","Croatia","HRV","nation",2020,0.00419268554805195,0.066812228596291,0.309441241052074,16.3158411268762,15.9354255954955,4.63150605141246,52.7267828664456,244.204413917454
"115","Croatia","HRV","nation",2025,0.00417521602493506,0.0758992119109403,0.30769298545291,15.9769269274937,18.1785113531032,4.0539681204326,51.9248981382411,210.501881709139
